meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1230,1,89.659,806.932,159.431,24,3,3,536.3,0,6.8,26.058,35.126,100,6509,12018,10801,100,81.0,88,333,246,89.158,624.73,144.354,27,4,4,310.3,0,4.1,25.371,30.597,100,5758,11929,10825,100,82.0,80,330,247,88.412,1284.065,215.065,13.0,2.0,2.0,1182.1,0.0,5.8,25.984,39.559,100.0,5751.0,11935.0,10861.0,100.0,82.0,84.0,335.0,249.0,87.472,1026.91,207.627,18.0,6.0,6.0,345.7,0.0,2.9,25.106,30.786,100.0,6356.0,12191.0,10932.0,100.0,84.0,88.0,331.0,254.0
1230,2,90.966,457.346,136.172,27,3,3,341.2,0,6.8,26.058,35.126,100,6212,12062,10765,100,79.0,86,327,242,89.934,569.212,143.761,27,4,4,297.5,0,4.1,25.371,30.597,100,6099,12176,10762,100,80.0,84,329,242,147.994,147.994,147.994,2.0,1.0,1.0,776.8888888888889,0.0,5.8,25.984,39.559,100.0,3778.0,12212.0,8094.0,100.0,37.0,34.0,327.0,148.0,89.526,242.809,126.848,9.0,2.0,2.0,127.4,0.0,2.9,25.106,30.786,100.0,6418.0,12577.0,10840.0,100.0,80.0,86.0,330.0,245.0
1230,3,90.917,874.249,151.203,25,4,4,328.6,0,6.8,26.058,35.126,100,6502,12214,10863,100,78.0,90,332,241,90.088,472.777,131.918,29,3,3,296.8,0,4.1,25.371,30.597,100,6606,12214,10753,100,77.0,89,331,242,89.74,1498.874,214.142,15.0,4.0,4.0,477.8,0.0,5.8,25.984,39.559,100.0,6822.0,12027.0,10774.0,100.0,78.0,94.0,334.0,244.0,89.025,1002.249,211.564,12.0,4.0,4.0,390.0,0.0,2.9,25.106,30.786,100.0,6647.0,12616.0,10872.0,100.0,79.0,90.0,332.0,247.0
1230,4,90.231,696.215,149.352,26,4,4,334.0,0,6.8,26.058,35.126,100,6356,12186,10811,99,81.0,87,327,243,89.758,820.798,171.061,23,5,5,343.3,0,4.1,25.371,30.597,100,6388,12145,10819,99,78.0,88,325,245,88.971,1429.58,314.214,11.0,3.0,3.0,977.8,0.0,5.8,25.984,39.559,100.0,6439.0,11795.0,10727.0,99.0,79.0,89.0,329.0,248.0,88.132,694.223,190.841,22.0,6.0,6.0,484.1,0.0,2.9,25.106,30.786,100.0,6573.0,11847.0,10713.0,99.0,83.0,90.0,326.0,252.0
1230,10,91.046,933.591,159.338,25,3,3,578.7,0,6.8,26.058,35.126,100,6233,11994,10768,100,79.0,88,323,240,89.528,626.932,136.837,29,3,3,424.7,0,4.1,25.371,30.597,100,6048,12044,10784,100,80.0,84,330,246,89.546,1052.972,220.809,13.0,3.0,3.0,675.3,0.0,5.8,25.984,39.559,100.0,6328.0,11853.0,10819.0,100.0,80.0,87.0,331.0,244.0,89.479,246.392,118.868,9.0,2.0,2.0,149.7,0.0,2.9,25.106,30.786,100.0,6531.0,11948.0,10795.0,100.0,80.0,89.0,327.0,246.0
1230,11,89.868,909.357,170.67,23,5,5,328.2,0,6.8,26.058,35.126,100,6495,11793,10717,100,81.0,87,334,244,89.3,782.279,145.938,27,4,4,375.0,0,4.1,25.371,30.597,100,6177,11896,10659,100,81.0,86,328,245,88.906,1344.486,227.547,13.0,2.0,2.0,1233.5,0.0,5.8,25.984,39.559,100.0,6221.0,12091.0,10787.0,100.0,81.0,85.0,335.0,247.0,87.807,1010.243,210.819,19.0,7.0,7.0,379.3,0.0,2.9,25.106,30.786,100.0,6336.0,12108.0,10835.0,100.0,81.0,88.0,332.0,249.0
1230,14,89.845,656.236,148.202,24,3,3,510.0,0,6.8,26.058,35.126,100,6322,11887,10734,100,81.0,86,322,244,88.827,596.624,136.715,28,3,3,433.4,0,4.1,25.371,30.597,100,6451,12221,10809,100,81.0,87,330,248,89.038,1197.383,272.643,14.0,4.0,4.0,693.5,0.0,5.8,25.984,39.559,100.0,6426.0,11984.0,10776.0,100.0,80.0,88.0,333.0,246.0,87.846,1060.673,242.751,17.0,5.0,5.0,544.6,0.0,2.9,25.106,30.786,100.0,6694.0,11843.0,10822.0,100.0,81.0,90.0,329.0,248.0
1230,16,90.03,832.062,162.989,24,4,4,370.5,0,6.8,26.058,35.126,100,7509,11950,10832,100,81.0,84,329,241,89.18,712.401,155.104,25,5,5,271.7,0,4.1,25.371,30.597,100,6701,12149,10848,100,81.0,87,331,247,88.608,982.957,207.677,16.0,4.0,4.0,719.1,0.0,5.8,25.984,39.559,100.0,6715.0,12238.0,10921.0,100.0,82.0,92.0,335.0,250.0,87.791,636.95,179.428,23.0,6.0,6.0,422.9,0.0,2.9,25.106,30.786,100.0,6750.0,12228.0,10902.0,100.0,83.0,89.0,330.0,250.0
1230,18,90.58,1500.122,220.209,18,3,3,946.4,0,6.8,26.058,35.126,100,6263,11947,10609,99,79.0,83,321,242,89.336,694.745,144.362,27,4,4,322.0,0,4.1,25.371,30.597,100,5892,11982,10635,99,81.0,81,330,247,89.127,1210.185,277.187,14.0,4.0,4.0,703.7,0.0,5.8,25.984,39.559,100.0,6196.0,11988.0,10707.0,100.0,81.0,85.0,332.0,246.0,88.25,994.057,215.471,19.0,6.0,6.0,384.0,0.0,2.9,25.106,30.786,100.0,6145.0,11862.0,10771.0,99.0,83.0,85.0,329.0,251.0
1230,20,91.577,1067.518,210.143,18,3,3,813.3,0,6.8,26.058,35.126,100,6691,12181,10828,100,78.0,90,333,242,89.985,865.575,162.484,24,3,3,613.0,0,4.1,25.371,30.597,100,6658,12289,10839,100,79.0,87,334,246,89.485,1214.244,220.066,12.0,3.0,3.0,565.1,0.0,5.8,25.984,39.559,100.0,6277.0,12241.0,10879.0,100.0,79.0,85.0,337.0,245.0,89.02,588.649,179.859,17.0,5.0,5.0,448.4,0.0,2.9,25.106,30.786,100.0,6645.0,12441.0,10936.0,100.0,80.0,89.0,334.0,247.0
1230,22,91.036,959.695,154.041,25,2,2,850.5,0,6.8,26.058,35.126,100,6390,12264,10849,100,79.0,89,330,241,89.666,477.876,136.04,28,3,3,360.8,0,4.1,25.371,30.597,100,6609,12244,10869,100,79.0,91,332,245,89.572,1037.329,184.513,18.0,4.0,4.0,381.5,0.0,5.8,25.984,39.559,100.0,6716.0,12105.0,10848.0,100.0,78.0,91.0,334.0,243.0,88.547,1031.819,210.99,18.0,6.0,6.0,332.4,0.0,2.9,25.106,30.786,100.0,6347.0,12175.0,10830.0,100.0,79.0,88.0,331.0,247.0
1230,23,90.747,590.1,148.405,26,3,3,473.2,0,6.8,26.058,35.126,100,6044,12197,10736,100,79.0,84,328,241,89.789,695.353,140.503,28,4,4,306.4,0,4.1,25.371,30.597,100,6369,12395,10732,100,79.0,89,326,247,89.808,1052.864,244.455,13.0,3.0,3.0,1059.6,0.0,5.8,25.984,39.559,100.0,6225.0,12404.0,10760.0,100.0,80.0,86.0,329.0,244.0,88.98,551.909,187.069,16.0,5.0,5.0,420.2,0.0,2.9,25.106,30.786,100.0,6592.0,12438.0,10813.0,100.0,81.0,88.0,329.0,249.0
1230,24,91.131,696.733,165.555,24,4,4,390.7,0,6.8,26.058,35.126,100,7196,12003,10770,100,81.0,92,330,244,89.777,654.405,147.056,27,3,3,491.8,0,4.1,25.371,30.597,100,7008,11960,10608,100,79.0,92,330,243,90.739,836.272,189.584,11.0,3.0,3.0,376.4,0.0,5.8,25.984,39.559,100.0,6811.0,11939.0,10677.0,100.0,81.0,89.0,330.0,243.0,121.101,121.101,121.101,2.0,1.0,1.0,348.1777777777778,0.0,2.9,25.106,30.786,100.0,5983.0,12318.0,9170.0,100.0,47.0,69.0,321.0,181.0
1230,27,91.411,1068.39,207.283,19,4,4,590.5,0,6.8,26.058,35.126,100,6448,12399,10834,100,80.0,86,331,242,90.077,692.502,149.859,26,4,4,355.6,0,4.1,25.371,30.597,100,6513,12107,10861,100,78.0,87,334,245,89.675,1567.561,260.424,11.0,3.0,3.0,736.2,0.0,5.8,25.984,39.559,100.0,6573.0,12247.0,10857.0,100.0,80.0,91.0,337.0,246.0,89.055,587.351,185.141,10.0,3.0,3.0,333.0,0.0,2.9,25.106,30.786,100.0,6342.0,12444.0,10877.0,100.0,81.0,85.0,335.0,246.0
1230,31,90.945,660.87,146.165,27,4,4,317.6,0,6.8,26.058,35.126,100,6227,11839,10679,100,81.0,85,324,241,89.901,689.779,144.463,27,3,3,465.8,0,4.1,25.371,30.597,100,6404,11933,10778,100,82.0,87,330,246,89.575,1406.26,221.511,13.0,3.0,3.0,661.1,0.0,5.8,25.984,39.559,100.0,6262.0,11907.0,10754.0,100.0,79.0,86.0,333.0,245.0,89.475,243.225,119.332,10.0,2.0,2.0,143.9,0.0,2.9,25.106,30.786,100.0,6360.0,12003.0,10676.0,100.0,80.0,87.0,330.0,244.0
1230,38,89.306,1233.471,180.01,22,4,4,517.7,0,5.8,25.984,39.559,100,6553,12209,10856,100,82.0,85,333,246,88.642,532.965,165.616,18,5,5,371.0,0,2.9,25.106,30.786,100,6923,12267,10874,100,83.0,88,332,249,92.45915789473683,1167.1044736842102,225.96426315789472,13.526315789473685,3.1578947368421053,3.1578947368421053,776.8888888888889,0.0,5.8,25.983999999999995,39.55899999999999,100.0,6325.736842105263,12118.473684210527,10657.842105263158,99.89473684210526,77.73684210526316,85.10526315789474,332.8421052631579,240.78947368421052,90.2921052631579,631.0504210526315,177.83215789473684,15.68421052631579,4.631578947368421,4.631578947368421,348.1777777777778,0.0,2.9,25.106,30.786000000000012,100.0,6488.1578947368425,12209.631578947368,10747.684210526315,99.89473684210526,79.36842105263158,87.47368421052632,329.7368421052632,244.68421052631578
1230,44,90.236,1014.896,186.911,21,5,5,359.8,0,6.8,26.058,35.126,104,6540,12188,10818,104,82.0,90,332,246,89.504,745.462,178.039,22,4,4,437.1,0,4.1,25.371,30.597,100,6825,12030,10831,100,81.0,91,331,245,89.268,1735.658,201.858,19.0,4.0,4.0,554.3,0.0,5.8,25.984,39.559,100.0,6633.0,12227.0,10901.0,100.0,81.0,87.0,335.0,247.0,88.46,504.875,171.034,24.0,7.0,7.0,340.3,0.0,2.9,25.106,30.786,100.0,6834.0,12357.0,10922.0,100.0,82.0,93.0,331.0,248.0
1230,63,89.939,777.271,169.07,23,4,4,419.0,0,6.8,26.058,35.126,100,7666,12421,10951,100,81.0,86,331,242,89.057,689.806,159.595,24,5,5,270.9,0,4.1,25.371,30.597,104,6621,12320,10869,100,80.0,90,334,245,88.964,913.817,217.102,17.0,3.0,3.0,1433.0,0.0,5.8,25.984,39.559,100.0,7217.0,12702.0,10933.0,100.0,80.0,85.0,336.0,249.0,88.316,517.131,183.608,22.0,7.0,7.0,362.5,0.0,2.9,25.106,30.786,100.0,6472.0,12400.0,10975.0,100.0,80.0,88.0,332.0,247.0
1230,77,90.783,757.77,150.881,26,4,4,341.8,0,6.8,26.058,35.126,100,6979,12233,10751,100,81.0,94,328,242,90.153,659.62,147.872,27,4,4,327.5,0,4.1,25.371,30.597,100,6340,12198,10690,100,80.0,85,330,243,90.083,883.42,200.082,21.0,4.0,4.0,832.1,0.0,5.8,25.984,39.559,100.0,6621.0,12233.0,10651.0,100.0,79.0,92.0,333.0,243.0,89.179,270.984,124.206,9.0,2.0,2.0,165.0,0.0,2.9,25.106,30.786,100.0,7017.0,12143.0,10786.0,100.0,82.0,93.0,330.0,248.0
1230,81,90.977,1157.148,177.045,22,4,4,502.1,0,6.8,26.058,35.126,100,6431,11952,10688,99,80.0,89,319,240,89.594,616.497,144.284,27,5,5,261.5,0,4.1,25.371,30.597,100,6642,12055,10762,100,80.0,91,325,247,89.213,1379.064,256.448,11.0,3.0,3.0,721.9,0.0,5.8,25.984,39.559,100.0,6178.0,12123.0,10773.0,99.0,80.0,87.0,329.0,248.0,88.089,658.408,192.254,22.0,6.0,6.0,493.8,0.0,2.9,25.106,30.786,100.0,6233.0,12044.0,10739.0,100.0,82.0,87.0,326.0,250.0
