meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1212,1,80.231,80.231,80.231,3.0,1.0,,,0,2.0,21.12,34.626,100.0,4890.0,11746.0,9741.0,100.0,64.0,54.0,301.0,193.0,74.142,652.203,146.921,34,5,4,1058.5,1,3.7,22.639,34.821,100,5387,11803,10142,100,71.0,59,326,213,83.106,603.586,117.585,22,3,2.0,748.6,1,2.9,14.803,17.473,100,4597,12709,9882,100,61.0,54,304,187,79.092,776.71,168.358,26,6,4.0,567.8,1,4.0,16.466,18.456,100,5544,12808,10135,100,63.0,64,337,198
1212,2,109.568,109.568,109.568,2.0,1.0,,,0,2.0,21.12,34.626,100.0,4303.0,12216.0,8616.0,100.0,38.0,54.0,291.0,144.0,75.426,628.328,119.628,38,4,3,1282.5,1,3.7,22.639,34.821,100,5398,12100,10058,100,68.0,64,329,208,87.279,116.622,96.857,16,2,1.0,27.7,1,2.9,14.803,17.473,100,4410,13160,9646,100,55.0,54,306,178,83.337,510.897,125.504,14,3,1.0,27.9,1,4.0,16.466,18.456,100,4717,12843,9763,100,59.0,54,314,185
1212,4,126.349,126.349,126.349,2.0,1.0,,,0,2.0,21.12,34.626,100.0,3440.0,12118.0,8792.0,98.0,39.0,0.0,286.0,123.0,74.617,840.374,137.237,40,8,7,647.1,1,3.7,22.639,34.821,100,5167,12121,10475,99,67.0,63,322,206,85.198,759.674,126.474,21,3,2.0,855.8,1,2.9,14.803,17.473,100,4569,12428,9867,99,57.0,52,300,182,79.347,689.652,174.514,26,6,4.0,573.1,1,4.0,16.466,18.456,100,5203,12457,10229,99,62.0,58,323,195
1212,10,79.347,689.652,174.514,26.0,1.0,,,0,2.0,21.12,34.626,,,,,,,,,,74.477,1139.152,127.644,39,5,4,772.3,1,3.7,22.639,34.821,100,5415,12004,10408,100,72.0,62,322,210,84.825,548.999,142.162,19,4,3.0,502.2,1,2.9,14.803,17.473,100,4545,12501,9781,100,60.0,54,304,182,82.886,104.942,90.141,11,1,,,1,4.0,16.466,18.456,100,4335,12281,9900,100,64.0,51,305,188
1212,11,80.154,80.154,80.154,3.0,1.0,,,0,2.0,21.12,34.626,100.0,5305.0,11807.0,9664.0,100.0,64.0,58.0,301.0,193.0,74.25,1522.977,171.646,29,7,6,404.4,1,3.7,22.639,34.821,100,5207,12347,10215,100,71.0,58,328,210,85.857,923.097,138.972,20,3,2.0,910.0,1,2.9,14.803,17.473,100,4701,12511,9378,100,57.0,53,307,179,80.959,501.521,126.089,23,5,3.0,131.4,1,4.0,16.466,18.456,100,4590,12322,9853,100,62.0,51,330,193
1212,14,79.807,99.373,89.59,3.0,1.0,,,0,2.0,21.12,34.626,100.0,4749.0,12510.0,9958.0,100.0,63.0,57.0,306.0,194.0,74.044,659.327,143.674,38,6,5,1018.0,1,3.7,22.639,34.821,100,5035,11896,10215,100,70.0,59,319,206,84.483,1394.757,170.649,18,3,2.0,670.3,1,2.9,14.803,17.473,100,4467,11682,9629,100,58.0,52,303,182,79.776,724.128,172.159,25,6,4.0,599.8,1,4.0,16.466,18.456,100,4348,12774,9860,100,63.0,54,321,195
1212,16,86.809,98.842,92.826,2.0,1.0,,,0,2.0,21.12,34.626,100.0,4634.0,12479.0,9969.0,100.0,59.0,54.0,290.0,181.0,74.094,872.934,143.487,38,8,7,457.8,1,3.7,22.639,34.821,100,4957,12114,10203,99,74.0,57,324,210,83.397,821.554,128.935,22,3,1.0,27.4,1,2.9,14.803,17.473,100,4371,12500,10009,100,61.0,52,311,185,80.615,490.844,126.823,22,5,3.0,125.9,1,4.0,16.466,18.456,100,4496,12423,10026,99,63.0,52,330,192
1212,18,79.175,79.175,79.175,3.0,1.0,,,0,2.0,21.12,34.626,100.0,5050.0,12037.0,9810.0,100.0,66.0,61.0,303.0,195.0,74.419,721.794,179.824,31,6,5,719.5,1,3.7,22.639,34.821,100,4819,12073,10221,100,69.0,60,325,207,84.944,937.865,135.179,22,3,2.0,440.2,1,2.9,14.803,17.473,100,4494,11701,9450,100,57.0,51,301,182,81.484,528.685,139.654,20,6,4.0,130.6,1,4.0,16.466,18.456,100,4435,12295,9662,100,61.0,52,326,190
1212,20,84.045,101.507,92.776,2.0,1.0,,,0,2.0,21.12,34.626,100.0,5376.0,12024.0,9700.0,100.0,55.0,63.0,322.0,187.0,74.544,1187.342,141.404,36,6,5,594.0,1,3.7,22.639,34.821,100,5639,12004,10286,100,68.0,64,330,210,84.715,1046.489,138.098,23,3,2.0,495.0,1,2.9,14.803,17.473,100,4744,12421,9873,100,60.0,55,303,184,81.678,523.304,136.992,21,7,5.0,111.2,1,4.0,16.466,18.456,100,5018,12317,10078,100,64.0,49,325,191
1212,21,92.274,92.274,92.274,3.0,1.0,,,0,2.0,21.12,34.626,100.0,4950.0,12415.0,9546.0,100.0,54.0,56.0,287.0,169.0,75.002,678.027,136.413,38,8,7,621.0,1,3.7,22.639,34.821,100,5083,12606,10294,100,74.0,59,329,209,85.725,507.773,125.443,24,4,3.0,387.6,1,2.9,14.803,17.473,100,4585,12640,9767,100,58.0,51,313,180,83.137,494.456,130.259,12,3,1.0,24.7,1,4.0,16.466,18.456,100,4695,12599,9922,100,63.0,55,313,187
1212,22,114.143,114.143,114.143,2.0,1.0,,,0,2.0,21.12,34.626,100.0,3406.0,12113.0,8811.0,100.0,47.0,31.0,251.0,140.0,74.941,620.942,118.569,43,7,6,683.1,1,3.7,22.639,34.821,100,5284,12497,10412,100,73.0,60,324,209,84.955,731.117,123.386,24,3,2.0,342.0,1,2.9,14.803,17.473,100,4359,12690,9820,100,62.0,51,309,182,82.746,604.03,146.181,11,3,1.0,35.8,1,4.0,16.466,18.456,100,4583,12748,9969,100,63.0,51,314,189
1212,23,82.746,604.03,146.181,11.0,1.0,,,0,2.0,21.12,34.626,,,,,,,,,,75.003,1129.589,126.244,33,4,3,918.3,1,3.7,22.639,34.821,100,4397,12066,9962,100,65.0,63,329,208,85.379,642.846,123.529,21,4,3.0,245.1,1,2.9,14.803,17.473,100,4359,13124,9741,100,55.0,55,308,181,78.725,995.467,185.725,24,6,4.0,744.0,1,4.0,16.466,18.456,100,4964,12537,10063,100,59.0,58,343,200
1212,24,84.961,112.361,98.661,3.0,1.0,,,0,2.0,21.12,34.626,100.0,6464.0,12081.0,9560.0,100.0,58.0,60.0,315.0,183.0,74.811,689.716,148.467,37,6,5,899.0,1,3.7,22.639,34.821,100,4851,12084,10050,100,69.0,62,328,206,86.75,793.351,126.574,23,3,2.0,368.0,1,2.9,14.803,17.473,100,4750,11895,9562,100,58.0,55,304,179,83.342,658.83,151.39,11,3,1.0,32.6,1,4.0,16.466,18.456,100,5105,12180,9674,100,61.0,56,309,187
1212,27,84.336,102.027,93.182,2.0,1.0,,,0,2.0,21.12,34.626,100.0,5035.0,12110.0,9818.0,100.0,56.0,59.0,315.0,187.0,76.369,742.352,160.261,10,2,1,664.1,1,3.7,22.639,34.821,100,5117,12292,10207,100,68.0,60,320,204,85.14,1058.446,145.131,20,3,2.0,500.3,1,2.9,14.803,17.473,100,4724,12229,9719,100,60.0,56,302,183,80.305,884.419,173.73,25,7,5.0,513.5,1,4.0,16.466,18.456,100,5139,12515,10019,100,59.0,61,330,193
1212,31,,,,,,,,0,2.0,21.12,34.626,104.0,0.0,4117.0,499.0,104.0,99.0,0.0,0.0,0.0,75.092,1072.965,152.542,17,2,1,991.6,1,3.7,22.639,34.821,100,5488,11793,10068,100,69.0,64,330,208,86.84,692.109,165.323,10,2,1.0,598.8,1,2.9,14.803,17.473,100,4783,12278,9635,100,57.0,54,301,180,80.406,797.715,175.509,25,6,4.0,600.5,1,4.0,16.466,18.456,100,4629,11794,9767,100,63.0,62,319,190
1212,44,,,,,,,,0,2.0,21.12,34.626,104.0,0.0,10143.0,478.0,104.0,87.0,0.0,135.0,1.0,73.718,1026.514,166.231,30,5,4,868.2,1,3.7,22.639,34.821,100,5201,12477,10248,100,71.0,60,322,211,85.087,518.289,146.765,20,4,3.0,448.9,1,2.9,14.803,17.473,100,4415,13457,9525,100,60.0,51,302,182,80.426,572.005,164.156,26,7,5.0,432.3,1,4.0,16.466,18.456,100,4498,12523,9835,100,64.0,54,325,192
1212,55,85.991,111.199,98.595,2.0,1.0,,,0,2.0,21.12,34.626,100.0,3910.0,12078.0,9417.0,100.0,60.0,34.0,302.0,180.0,73.844,1081.793,140.104,39,7,6,554.0,1,3.7,22.639,34.821,100,5361,11944,10200,100,72.0,60,330,212,84.765,101.273,91.975,13,1,,,1,2.9,14.803,17.473,100,4662,12755,9706,100,61.0,54,306,182,79.856,743.603,166.953,26,6,4.0,580.0,1,4.0,16.466,18.456,100,4802,12257,9876,100,63.0,59,325,195
1212,63,,,,,,,,0,2.0,21.12,34.626,104.0,0.0,10096.0,684.0,104.0,84.0,0.0,136.0,1.0,73.745,937.108,160.402,31,6,5,441.0,1,3.7,22.639,34.821,104,5198,12199,10329,104,71.0,59,322,213,85.435,483.886,141.871,20,4,3.0,559.7,1,2.9,14.803,17.473,100,4471,13357,9532,100,58.0,52,302,180,80.098,546.306,172.02,25,7,5.0,446.8,1,4.0,16.466,18.456,100,4635,12328,9966,100,63.0,55,324,193
1212,77,78.728,101.45,90.089,3.0,1.0,,,0,2.0,21.12,34.626,100.0,5388.0,12122.0,10033.0,100.0,65.0,62.0,317.0,197.0,74.22,708.44,138.558,40,8,7,651.6,1,3.7,22.639,34.821,100,5464,12377,10166,100,69.0,62,329,208,84.988,828.623,129.458,22,3,2.0,384.5,1,2.9,14.803,17.473,100,4564,12597,9555,100,59.0,51,305,183,81.821,547.188,130.227,24,5,3.0,139.8,1,4.0,16.466,18.456,100,4677,12236,9730,100,62.0,55,324,192
1212,81,81.496,103.91,92.703,3.0,1.0,,,0,2.0,21.12,34.626,100.0,5414.0,11814.0,10072.0,99.0,59.0,60.0,318.0,191.0,74.533,679.534,135.071,38,8,7,562.2,1,3.7,22.639,34.821,100,5633,11768,10345,99,68.0,63,319,210,85.191,641.198,116.688,25,3,2.0,295.0,1,2.9,14.803,17.473,100,4596,12246,9811,99,58.0,53,302,180,79.659,649.72,150.777,24,5,3.0,305.5,1,4.0,16.466,18.456,100,5567,12574,10179,99,61.0,63,324,193
